READOUT_CLASS,BASELINE_ONLY,DESCRIPTIVE,k,candidate,target,source_file,accuracy,ci_low,ci_high,ci_method,n_families,n_pairs,note
activation,False,True,32.0,K2,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.646,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K2.budget_curve.32 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,96.0,K2,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.646,0.5453960690887433,0.7641627061783618,bca_cluster,7.0,211.0,reconstructed from targets.safe_engagement_rate.candidates.K2.per_family.<family>.acc (macro mean matches mean_acc and budget_curve[96] within 0.001)
activation,False,True,0.0,K3,safe_engagement_rate,LANE_C/results/s3/s3_results.json,,,,NOT_RUN_BY_LANE_C,,,"k=0 searched at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K3.budget_curve.0 -- ABSENT. Registered budget_ks (prereg.json.s3_decision_rule.budget_ks) = [4, 8, 16, 32, 96]; k=0 WAS NOT RUN by Lane C. Not imputed."
activation,False,True,4.0,K3,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.356,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K3.budget_curve.4 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,8.0,K3,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.356,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K3.budget_curve.8 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,16.0,K3,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.356,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K3.budget_curve.16 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,32.0,K3,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.356,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K3.budget_curve.32 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,96.0,K3,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.356,0.33482993197278915,0.4051493235769591,bca_cluster,7.0,211.0,reconstructed from targets.safe_engagement_rate.candidates.K3.per_family.<family>.acc (macro mean matches mean_acc and budget_curve[96] within 0.001)
activation,False,True,0.0,K4,safe_engagement_rate,LANE_C/results/s3/s3_results.json,,,,NOT_RUN_BY_LANE_C,,,"k=0 searched at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K4.budget_curve.0 -- ABSENT. Registered budget_ks (prereg.json.s3_decision_rule.budget_ks) = [4, 8, 16, 32, 96]; k=0 WAS NOT RUN by Lane C. Not imputed."
activation,False,True,4.0,K4,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.287,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K4.budget_curve.4 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,8.0,K4,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.287,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K4.budget_curve.8 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,16.0,K4,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.287,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K4.budget_curve.16 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,32.0,K4,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.287,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K4.budget_curve.32 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,96.0,K4,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.287,0.15662821650399292,0.386832298136646,bca_cluster,7.0,211.0,reconstructed from targets.safe_engagement_rate.candidates.K4.per_family.<family>.acc (macro mean matches mean_acc and budget_curve[96] within 0.001)
activation,False,True,0.0,K5,safe_engagement_rate,LANE_C/results/s3/s3_results.json,,,,NOT_RUN_BY_LANE_C,,,"k=0 searched at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K5.budget_curve.0 -- ABSENT. Registered budget_ks (prereg.json.s3_decision_rule.budget_ks) = [4, 8, 16, 32, 96]; k=0 WAS NOT RUN by Lane C. Not imputed."
activation,False,True,4.0,K5,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.72,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K5.budget_curve.4 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,8.0,K5,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.72,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K5.budget_curve.8 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,16.0,K5,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.72,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K5.budget_curve.16 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,32.0,K5,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.72,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K5.budget_curve.32 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,96.0,K5,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.72,0.6126915113871636,0.8032690336408537,bca_cluster,7.0,211.0,reconstructed from targets.safe_engagement_rate.candidates.K5.per_family.<family>.acc (macro mean matches mean_acc and budget_curve[96] within 0.001)
logit,True,True,,B3,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.8513000935931252,0.7870143793074108,0.9198715221645537,bca_cluster,7.0,211.0,"B3 = Lane C's oracle-selected strongest_baseline on safe_engagement_rate (first-token refusal-minus-compliance logit gap on PROBE_HARM, per LANE_C/prereg.json baselines.B3). Has no prompt-budget dependence in Lane C's schema, so it is printed once per target rather than once per k. Reconstructed from targets.safe_engagement_rate.baseline_per_family.<family>.acc (macro mean matches baseline_table.B3 within 0.001)."
activation,False,True,0.0,K1,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,,,,NOT_RUN_BY_LANE_C,,,"k=0 searched at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K1.budget_curve.0 -- ABSENT. Registered budget_ks (prereg.json.s3_decision_rule.budget_ks) = [4, 8, 16, 32, 96]; k=0 WAS NOT RUN by Lane C. Not imputed."
activation,False,True,4.0,K1,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.882,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K1.budget_curve.4 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,8.0,K1,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.85,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K1.budget_curve.8 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,16.0,K1,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.789,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K1.budget_curve.16 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,32.0,K1,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.814,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K1.budget_curve.32 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,96.0,K1,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.81,0.7337053802571044,0.8803828459000874,bca_cluster,7.0,293.0,reconstructed from targets.harmful_compliance_rate.candidates.K1.per_family.<family>.acc (macro mean matches mean_acc and budget_curve[96] within 0.001)
activation,False,True,0.0,K2,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,,,,NOT_RUN_BY_LANE_C,,,"k=0 searched at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K2.budget_curve.0 -- ABSENT. Registered budget_ks (prereg.json.s3_decision_rule.budget_ks) = [4, 8, 16, 32, 96]; k=0 WAS NOT RUN by Lane C. Not imputed."
activation,False,True,4.0,K2,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.739,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K2.budget_curve.4 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,8.0,K2,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.739,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K2.budget_curve.8 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,16.0,K2,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.739,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K2.budget_curve.16 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,32.0,K2,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.739,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K2.budget_curve.32 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,96.0,K2,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.739,0.6350458256180926,0.8234663234663236,bca_cluster,7.0,293.0,reconstructed from targets.harmful_compliance_rate.candidates.K2.per_family.<family>.acc (macro mean matches mean_acc and budget_curve[96] within 0.001)
activation,False,True,0.0,K3,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,,,,NOT_RUN_BY_LANE_C,,,"k=0 searched at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K3.budget_curve.0 -- ABSENT. Registered budget_ks (prereg.json.s3_decision_rule.budget_ks) = [4, 8, 16, 32, 96]; k=0 WAS NOT RUN by Lane C. Not imputed."
activation,False,True,4.0,K3,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.378,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K3.budget_curve.4 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,8.0,K3,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.378,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K3.budget_curve.8 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,16.0,K3,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.378,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K3.budget_curve.16 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,32.0,K3,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.378,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K3.budget_curve.32 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,96.0,K3,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.378,0.31931738212526384,0.43379040921227274,bca_cluster,7.0,293.0,reconstructed from targets.harmful_compliance_rate.candidates.K3.per_family.<family>.acc (macro mean matches mean_acc and budget_curve[96] within 0.001)
activation,False,True,0.0,K4,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,,,,NOT_RUN_BY_LANE_C,,,"k=0 searched at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K4.budget_curve.0 -- ABSENT. Registered budget_ks (prereg.json.s3_decision_rule.budget_ks) = [4, 8, 16, 32, 96]; k=0 WAS NOT RUN by Lane C. Not imputed."
activation,False,True,4.0,K4,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.399,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K4.budget_curve.4 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,8.0,K4,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.399,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K4.budget_curve.8 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,16.0,K4,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.399,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K4.budget_curve.16 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,32.0,K4,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.399,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K4.budget_curve.32 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,96.0,K4,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.399,0.21508718429900694,0.5279146141215106,bca_cluster,7.0,293.0,reconstructed from targets.harmful_compliance_rate.candidates.K4.per_family.<family>.acc (macro mean matches mean_acc and budget_curve[96] within 0.001)
activation,False,True,0.0,K5,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,,,,NOT_RUN_BY_LANE_C,,,"k=0 searched at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K5.budget_curve.0 -- ABSENT. Registered budget_ks (prereg.json.s3_decision_rule.budget_ks) = [4, 8, 16, 32, 96]; k=0 WAS NOT RUN by Lane C. Not imputed."
activation,False,True,4.0,K5,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.752,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K5.budget_curve.4 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,8.0,K5,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.752,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K5.budget_curve.8 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,16.0,K5,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.752,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K5.budget_curve.16 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,32.0,K5,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.752,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.harmful_compliance_rate.candidates.K5.budget_curve.32 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,96.0,K5,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.752,0.7064237227480072,0.7791583376689759,bca_cluster,7.0,293.0,reconstructed from targets.harmful_compliance_rate.candidates.K5.per_family.<family>.acc (macro mean matches mean_acc and budget_curve[96] within 0.001)
logit,True,True,,B3,harmful_compliance_rate,LANE_C/results/s3/s3_results.json,0.8633620818926344,0.7771717882555321,0.9212846150536121,bca_cluster,7.0,293.0,"B3 = Lane C's oracle-selected strongest_baseline on harmful_compliance_rate (first-token refusal-minus-compliance logit gap on PROBE_HARM, per LANE_C/prereg.json baselines.B3). Has no prompt-budget dependence in Lane C's schema, so it is printed once per target rather than once per k. Reconstructed from targets.harmful_compliance_rate.baseline_per_family.<family>.acc (macro mean matches baseline_table.B3 within 0.001)."
